Rank     Team                            W-L-T    Rating
1        LSU                             8-0-0    80.8841
2        Oklahoma St                     6-0-0    72.3637
3        Alabama                         6-0-0    71.559
4        LSU                             4-0-0    70.4322
5        Oregon                          4-1-0    70.0798
6        Alabama                         6-0-0    69.989
7        Baylor                          9-0-0    69.7018
8        Boise St                        7-0-0    65.6005
9        Stanford                        5-0-0    65.1543
10        Arkansas                        8-0-0    64.726
11        Oklahoma                        4-2-0    61.7769
12        Oklahoma                        6-1-0    61.6189
13        Michigan                        8-0-0    61.0176
14        Oregon                          8-1-0    60.9218
15        Texas                           4-1-0    60.6227
16        Boise St                        5-1-0    59.9496
17        Notre Dame                      4-2-0    59.7104
18        Oklahoma St                     6-1-0    57.6132
19        Stanford                        6-2-0    57.1203
20        South Carolina                  8-1-0    56.5742
21        Wisconsin                       7-0-0    56.4935
22        Rutgers                         7-1-0    56.472
23        Clemson                         8-1-0    56.0714
24        Tennessee                       5-1-0    55.4184
25        Missouri                        6-1-0    55.3351
26        Southern Cal                    4-1-0    55.0228
27        Georgia                         5-1-0    54.5132
28        TCU                             4-1-0    54.4471
29        Texas A&M                       5-4-0    54.4213
30        Iowa                            6-1-0    54.2931
31        West Virginia                   5-2-0    53.4703
32        TCU                             7-1-0    53.4021
33        California                      5-1-0    53.3502
34        Mississippi St                  0-2-0    52.9014
35        Kansas St                       6-1-0    52.8759
36        North Carolina                  6-1-0    52.519
37        Michigan St                     4-1-0    52.1911
38        Kansas St                       4-2-0    52.1515
39        West Virginia                   5-1-0    51.124
40        Texas                           4-3-0    50.8202
41        Cincinnati                      5-1-0    50.8119
42        Houston                         6-0-0    50.6477
43        Northern Illinois               6-0-0    50.5439
44        Virginia Tech                   5-1-0    50.4382
45        Washington                      6-1-0    50.1752
46        Southern Cal                    6-1-0    49.9554
47        Western Michigan                5-1-0    49.7846
48        Florida                         1-2-0    49.7462
49        Houston                         7-1-0    49.7365
50        Michigan St                     7-1-0    49.7213
51        Georgia                         5-3-0    49.6659
52        South Carolina                  3-1-0    49.469
53        Auburn                          7-1-0    49.332
54        Mississippi St                  4-1-0    49.1056
55        Cincinnati                      5-1-0    49.0891
56        Arkansas                        3-2-0    48.3974
57        South Florida                   3-3-0    48.2793
58        Ohio State                      5-1-0    47.9551
59        Florida St                      6-2-0    47.6204
60        Arizona St                      5-3-0    47.5031
61        Toledo                          5-2-0    47.3388
62        Pittsburgh                      5-3-0    47.3075
63        Notre Dame                      4-3-0    47.2716
64        Sam Houston St                  10-0-0    47.0033
65        Ohio State                      0-1-0    46.8818
66        Utah                            4-2-0    46.7377
67        LSU                             0-1-0    46.6798
68        Southern Miss                   6-2-0    46.5902
69        Michigan                        3-2-0    46.4669
70        Louisville                      4-2-0    46.33
71        Texas A&M                       2-2-0    46.2834
72        San Diego St                    4-3-0    46.1446
73        Wisconsin                       4-3-0    45.8312
74        Virginia Tech                   6-1-0    45.8032
75        Vanderbilt                      5-3-0    45.7189
76        North Carolina St               7-1-0    45.3746
77        Arkansas St                     6-1-0    45.2838
78        Nebraska                        6-1-0    45.2748
79        Montana                         8-0-0    45.2338
80        Missouri                        2-4-0    45.0667
81        Arizona                         3-3-0    44.9026
82        Southern Miss                   6-0-0    44.854
83        Nevada                          5-2-0    44.7389
84        North Dakota St                 5-0-0    44.4666
85        Toledo                          4-2-0    44.4058
86        Iowa St                         4-2-0    43.781
87        SMU                             6-1-0    43.7483
88        Texas Tech                      2-2-0    43.6208
89        New Hampshire                   5-0-0    43.5553
90        Illinois                        5-2-0    43.4779
91        Brigham Young                   4-2-0    43.4023
92        UCLA                            5-2-0    43.3128
93        Florida                         6-2-0    43.2949
94        Syracuse                        4-3-0    43.1753
95        Georgia Tech                    5-2-0    43.05
96        Penn State                      5-2-0    42.8919
97        Marshall                        4-1-0    42.5956
98        North Dakota St                 8-1-0    42.1103
99        Mississippi                     1-3-0    41.8576
100        Wake Forest                     4-2-0    41.7179
101        Harvard                         5-0-0    41.5863
102        Louisiana Tech                  5-3-0    41.4431
103        Northern Illinois               5-2-0    41.3916
104        Georgia Southern                8-0-0    41.2899
105        Western Kentucky                0-1-0    41.1934
106        Washington St                   3-2-0    41.1016
