Rank     Team                            W-L-T    Rating
1        TCU                             6-0-0    75.0099
2        Oregon                          5-1-0    70.9544
3        Mississippi                     3-0-0    70.5225
4        Kansas St                       5-1-0    69.6627
5        Alabama                         6-0-0    69.3168
6        Mississippi St                  6-1-0    68.7354
7        Mississippi                     6-1-0    68.7068
8        Missouri                        6-0-0    68.5741
9        Arizona                         5-0-0    66.9515
10        Auburn                          3-1-0    66.7791
11        Alabama                         5-1-0    66.0283
12        Clemson                         5-0-0    65.0069
13        Auburn                          5-2-0    64.4324
14        UCLA                            7-0-0    63.7635
15        Wisconsin                       6-0-0    63.5355
16        Oregon                          6-0-0    63.2462
17        Boise St                        5-0-0    63.2199
18        Ohio St                         7-0-0    62.971
19        Oklahoma                        6-1-0    62.396
20        Texas                           3-0-0    61.1966
21        Georgia                         5-1-0    61.0617
22        Ohio St                         4-1-0    60.9471
23        Nebraska                        6-1-0    59.2925
24        LSU                             2-0-0    59.2261
25        Florida St                      5-0-0    58.9368
26        Baylor                          6-1-0    58.8441
27        Oklahoma                        2-2-0    58.6782
28        Arizona St                      4-2-0    58.3561
29        Southern Cal                    4-2-0    57.9819
30        Kansas St                       4-1-0    57.8021
31        Texas A&M                       3-1-0    57.514
32        Michigan St                     5-1-0    57.4098
33        Florida St                      7-0-0    56.9873
34        Tennessee                       4-2-0    56.9256
35        Coastal Carolina                4-0-0    56.3881
36        Stanford                        4-2-0    56.3383
37        Southern Cal                    4-2-0    56.2916
38        Georgia Tech                    5-1-0    55.9686
39        Arkansas                        4-3-0    55.8038
40        Mississippi St                  4-1-0    55.7393
41        TCU                             4-1-0    55.6252
42        Minnesota                       2-1-0    55.5618
43        Virginia Tech                   4-1-0    55.2196
44        Michigan St                     5-1-0    54.7827
45        Baylor                          4-0-0    54.7112
46        Minnesota                       6-2-0    54.601
47        Louisville                      5-2-0    54.3062
48        Virginia                        4-3-0    54.1918
49        Texas A&M                       4-3-0    54.1612
50        LSU                             6-2-0    53.7624
51        Arizona                         5-1-0    53.59
52        East Carolina                   4-0-0    52.953
53        Utah                            5-1-0    52.6657
54        West Virginia                   3-3-0    52.5234
55        Western Kentucky                4-1-0    52.2544
56        Central Florida                 5-0-0    52.0629
57        Arizona St                      5-1-0    51.9653
58        Illinois St                     6-0-0    51.8787
59        North Carolina St               3-1-0    51.6272
60        Maryland                        5-0-0    51.6212
61        Toledo                          4-1-0    51.4266
62        Florida                         3-1-0    50.763
63        North Dakota St                 5-0-0    50.6027
64        Northwestern                    3-1-0    50.5919
65        Notre Dame                      4-3-0    50.4807
66        Texas                           3-3-0    50.0901
67        Miami FL                        5-3-0    49.9112
