Rank     Team                            W-L-T    Schedule Factor
1        UCLA                            0-1-0    72.7308
2        Washington                      0-1-0    72.7308
3        Boston College                  0-1-0    69.1571
4        Fresno St                       0-1-0    66.4442
5        Hawai`i                         0-1-0    66.4442
6        Wyoming                         0-2-0    62.773
7        Texas Tech                      0-1-0    62.5882
8        Portland St                     0-2-0    61.8911
9        Oregon St                       0-1-0    58.8318
10        New Mexico St                   0-1-0    58.4315
11        San Jose St                     0-1-0    58.4315
12        Utah                            0-2-0    58.1551
13        UNLV                            0-1-0    57.8786
14        Colorado St                     0-1-0    57.8786
15        Air Force                       0-1-0    56.9491
16        Brigham Young                   0-1-0    56.9491
17        Washington St                   0-1-0    56.8147
18        Louisiana-Monroe                0-3-0    56.4483
19        Tennessee Tech                  0-2-0    55.7167
20        Vanderbilt                      0-2-0    55.2602
21        Iowa St                         0-2-0    54.6177
22        Western Carolina                0-1-0    54.2221
23        West Virginia                   0-1-0    54.2221
24        New Mexico                      0-2-0    54.1659
25        Texas Southern                  0-1-0    54.0046
26        New Mexico St                   0-1-0    53.9624
27        Georgia Tech                    0-1-0    53.8563
28        Stephen F. Austin               0-1-0    53.7689
29        Georgia St                      0-1-0    52.791
30        Purdue                          0-1-0    52.7862
31        Marshall                        0-1-0    52.7862
32        Michigan                        0-1-0    52.7862
33        Arkansas                        4-1-0    52.7241
34        Georgia                         0-1-0    51.945
35        Mississippi St                  0-1-0    51.6678
36        Central Michigan                0-1-0    51.3735
37        Florida                         0-1-0    51.2978
38        Nebraska                        4-1-0    51.2018
39        Wake Forest                     0-2-0    51.0938
40        Utah St                         1-3-0    51.0431
41        Clemson                         0-1-0    50.8641
42        Florida                         0-2-0    50.3783
43        UCLA                            1-3-0    50.2966
44        Michigan St                     0-2-0    49.7191
45        Penn State                      0-2-0    49.7191
46        Nicholls St                     0-1-0    49.5256
47        Northern Iowa                   0-1-0    49.4138
48        Georgia                         1-4-0    49.1246
49        McNeese St                      0-1-0    48.8642
50        Georgia                         0-1-0    48.7873
51        Oregon St                       1-4-0    48.547
52        Auburn                          5-0-0    48.1875
53        Samford                         0-1-0    47.9655
54        Navy                            0-1-0    47.8531
55        Florida St                      4-3-0    47.4476
56        Vanderbilt                      0-1-0    47.2273
57        Louisiana-Lafayette             0-1-0    47.2273
58        Colorado                        0-2-0    47.1497
59        San Jose St                     0-3-0    46.9174
60        LSU                             4-2-0    46.8987
61        Ball St                         0-1-0    46.6471
62        Stanford                        6-1-0    46.4493
63        Oklahoma St                     6-2-0    45.9505
64        Kansas St                       5-2-0    45.6752
65        Vanderbilt                      1-3-0    45.5454
66        Miami FL                        3-3-0    45.4003
67        Louisville                      0-1-0    45.2757
68        Colorado St                     0-4-0    45.2436
69        Oregon                          6-1-0    45.1061
70        Arizona St                      4-2-0    45.0724
71        Texas A&M                       5-2-0    45.0504
72        Washington St                   1-4-0    45.0349
73        Iowa St                         4-2-0    45.0048
74        South Florida                   0-1-0    44.791
75        Coastal Carolina                0-1-0    44.791
76        Virginia                        0-1-0    44.7513
77        Duke                            0-1-0    44.7513
78        New Mexico                      1-5-0    44.5671
79        Utah                            0-1-0    44.5634
80        Memphis                         0-1-0    44.0386
81        Colorado                        0-3-0    43.701
82        Alabama                         3-2-0    43.4643
83        Pittsburgh                      0-1-0    43.4009
84        Washington St                   1-4-0    43.3938
85        Ohio State                      4-1-0    43.351
86        South Carolina                  3-3-0    43.273
87        Florida A&M                     0-1-0    42.976
88        Wyoming                         0-2-0    42.837
89        Virginia Tech                   4-0-0    42.7328
90        Minnesota                       0-1-0    42.7042
91        Illinois                        0-1-0    42.7042
92        Colorado St                     0-3-0    42.6104
93        Cincinnati                      1-4-0    42.404
94        South Carolina                  6-2-0    42.3694
95        Baylor                          3-2-0    42.2275
96        Washington                      3-3-0    42.1028
97        Arizona St                      2-4-0    42.0396
98        Auburn                          9-0-0    41.9504
99        Army                            0-1-0    41.873
100        West Virginia                   3-2-0    41.8185
101        UCLA                            0-2-0    41.681
102        UNLV                            0-5-0    41.6431
103        Oklahoma                        4-2-0    41.6343
104        UCLA                            3-2-0    41.5784
105        Eastern Michigan                0-2-0    41.5176
106        Toledo                          0-1-0    41.513
107        Washington St                   0-1-0    41.513
108        Oklahoma                        8-0-0    40.8876
109        Notre Dame                      5-3-0    40.7377
110        Penn State                      1-2-0    40.7057
111        Mississippi                     1-4-0    40.6425
112        Tennessee                       4-4-0    40.6352
113        Wisconsin                       4-2-0    40.5139
114        Iowa St                         1-2-0    40.457
