Rank     Team                            W-L-T    Schedule Factor
1        Oklahoma St                     0-1-0    72.0873
2        Minnesota                       0-1-0    72.0873
3        Samford                         0-1-0    69.7016
4        Texas                           0-1-0    66.7401
5        Texas A&M                       0-1-0    66.3943
6        Southern Miss                   0-1-0    65.8128
7        Memphis                         0-1-0    65.7843
8        Tennessee                       0-1-0    65.7843
9        Tulsa                           0-1-0    65.3186
10        Kansas                          0-2-0    64.7189
11        Oklahoma St                     0-1-0    64.1192
12        Syracuse                        0-1-0    62.0843
13        North Carolina St               0-1-0    62.0843
14        Florida Atlantic                0-2-0    61.3821
15        Maryland                        0-1-0    60.6129
16        Louisiana-Lafayette             0-1-0    60.2973
17        Auburn                          3-1-0    58.5291
18        Auburn                          0-1-0    58.1391
19        Troy                            0-1-0    58.1391
20        South Carolina St               0-2-0    57.7749
21        Florida Int'l                   0-1-0    57.2288
22        Syracuse                        0-1-0    57.2288
23        LSU                             0-2-0    57.1955
24        Rutgers                         0-2-0    54.5034
25        Vanderbilt                      0-3-0    54.4385
26        Utah St                         0-1-0    54.003
27        Tennessee                       0-1-0    53.6856
28        Weber St                        0-1-0    53.5253
29        South Dakota                    0-1-0    53.5253
30        Penn St                         0-1-0    53.5145
31        Oklahoma                        2-2-0    53.4282
32        UC-Davis                        0-1-0    53.4157
33        Army                            0-1-0    53.4157
34        Texas                           0-2-0    53.1924
35        Oklahoma St                     1-1-0    52.5898
36        Alabama                         5-1-0    51.8616
37        Jacksonville St                 0-1-0    51.8601
38        Missouri                        0-1-0    51.8114
39        Northwestern St                 0-1-0    51.7887
40        Iowa St                         1-6-0    51.7641
41        San Jose St                     0-1-0    51.6784
42        Lamar                           0-1-0    51.2386
43        California                      0-1-0    50.9793
44        Sam Houston St                  0-1-0    50.8398
45        Louisiana-Monroe                0-1-0    50.8398
46        Mississippi                     0-1-0    50.8398
47        Kentucky                        0-1-0    50.8398
48        New Mexico St                   0-1-0    50.8398
49        Vanderbilt                      0-2-0    50.7353
50        Syracuse                        1-7-0    50.7309
51        Mississippi St                  6-1-0    50.3068
52        Purdue                          1-2-0    50.2829
53        UCLA                            2-3-0    50.1039
54        North Carolina Central          0-1-0    50.0304
55        Arizona St                      4-2-0    50.0228
56        Georgia St                      0-1-0    49.6852
57        Colorado                        1-7-0    49.6505
58        Kansas St                       4-1-0    49.6021
59        North Carolina                  2-4-0    49.1718
60        Tulsa                           0-1-0    49.1403
61        Bethune-Cookman                 0-1-0    49.1403
62        Washington St                   1-7-0    49.0434
63        Boston College                  2-5-0    48.9982
64        Missouri St                     0-1-0    48.9561
65        Mississippi Valley St           0-1-0    48.9561
66        Texas Tech                      2-3-0    48.8996
67        Stanford                        3-3-0    48.6986
68        Mississippi                     0-1-0    48.5871
69        Missouri                        6-0-0    48.5741
70        Utah                            3-3-0    48.2574
71        Texas                           3-3-0    48.0901
72        SMU                             0-4-0    48.0518
73        Minnesota                       2-1-0    47.8951
74        LSU                             2-0-0    47.7261
75        Illinois                        2-4-0    47.6301
76        Michigan                        0-1-0    47.5581
77        Texas A&M                       4-3-0    47.4469
78        Kentucky                        0-3-0    47.1827
79        North Texas                     0-1-0    47.1676
80        Auburn                          5-2-0    47.0038
81        Tennessee                       2-2-0    46.8401
82        Texas Tech                      2-5-0    46.7338
83        Arizona                         5-0-0    46.5515
84        Wake Forest                     1-1-0    46.4309
85        North Carolina                  4-2-0    46.3966
86        Florida                         3-4-0    46.279
87        Virginia                        4-3-0    46.1918
88        Oregon                          5-1-0    46.1211
89        TCU                             6-0-0    46.0099
90        Eastern Kentucky                0-2-0    45.9559
91        West Virginia                   3-3-0    45.8567
92        UCLA                            7-0-0    45.7635
93        South Carolina                  3-4-0    45.5269
94        Kansas                          0-3-0    45.4955
95        Western Illinois                0-2-0    45.3914
96        California                      2-4-0    45.3554
97        Southern Cal                    4-2-0    45.2916
98        Mississippi                     6-1-0    45.2783
99        Notre Dame                      4-3-0    44.9092
100        Arkansas                        2-3-0    44.8645
101        Middle Tennessee St             0-1-0    44.6182
102        South Alabama                   0-2-0    44.6111
103        Indiana                         2-3-0    44.5397
104        Mississippi                     3-0-0    44.5225
105        Texas A&M                       3-1-0    44.514
106        Southern Cal                    4-2-0    44.4819
107        Virginia Tech                   4-1-0    44.4196
108        Vanderbilt                      0-1-0    44.258
109        Ohio U.                         0-1-0    44.258
110        New Mexico                      0-6-0    44.0062
111        Tiffin                          0-1-0    43.9529
112        Walsh                           0-1-0    43.9529
113        Michigan                        4-4-0    43.9375
114        Wyoming                         0-1-0    43.8517
115        Maryland                        2-4-0    43.7295
116        Arkansas                        4-3-0    43.6609
117        Virginia                        1-4-0    43.5572
118        Kansas St                       5-1-0    43.496
119        Wyoming                         1-4-0    43.4651
120        West Virginia                   4-2-0    43.2662
121        Eastern Michigan                0-1-0    43.1838
122        Utah                            5-1-0    43.1657
123        Rutgers                         3-2-0    43.1102
124        Tulane                          0-2-0    43.0517
125        Alabama-Birmingham              3-3-0    42.9147
126        Illinois                        4-2-0    42.8897
127        Clemson                         0-1-0    42.8128
128        Elon                            0-2-0    42.797
129        Oklahoma St                     4-3-0    42.7603
130        Alabama                         6-0-0    42.3168
131        Oregon St                       2-2-0    42.2374
132        Minnesota                       6-2-0    42.226
133        Arizona                         0-1-0    41.9813
134        Oklahoma                        6-1-0    41.8246
135        South Carolina                  3-2-0    41.809
136        Tennessee                       4-2-0    41.7589
137        Louisville                      5-2-0    41.7348
138        Ohio St                         7-0-0    41.6852
139        Purdue                          2-7-0    41.573
140        Iowa St                         1-3-0    41.5369
141        Connecticut                     0-1-0    41.4571
142        Michigan Tech                   0-1-0    41.4563
143        Nebraska                        3-2-0    41.327
144        Indiana                         0-1-0    41.2213
145        Kansas                          3-3-0    41.1954
146        Florida St                      7-0-0    41.1301
147        Colorado                        1-3-0    40.9747
148        Washington St                   2-2-0    40.9681
149        Washington                      3-3-0    40.8433
150        Texas-San Antonio               2-2-0    40.7173
151        Clemson                         5-0-0    40.6069
152        Pennsylvania                    0-1-0    40.6011
153        Oregon St                       3-5-0    40.4687
154        William & Mary                  0-2-0    40.2418
155        Toledo                          4-1-0    40.2266
156        Notre Dame                      3-2-0    39.9714
157        Vanderbilt                      3-3-0    39.9507
158        Kentucky                        5-3-0    39.9306
159        Northwestern                    2-4-0    39.9258
160        Boise St                        5-0-0    39.8199
161        California                      3-2-0    39.8127
162        SMU                             0-3-0    39.5841
163        Towson                          0-2-0    39.4422
164        TCU                             4-1-0    39.4252
165        Arizona                         5-1-0    39.4233
166        South Florida                   0-1-0    39.3183
167        Georgia                         5-1-0    39.2284
168        Hawai`i                         2-5-0    39.0261
169        Nebraska                        6-1-0    38.864
170        Stanford                        4-2-0    38.8383
171        Florida                         3-1-0    38.763
172        Clemson                         4-2-0    38.7626
173        Youngstown St                   2-2-0    38.7219
174        Miami FL                        5-3-0    38.6612
175        Akron                           0-1-0    38.5158
176        Massachusetts                   0-1-0    38.5158
177        Georgia Tech                    5-1-0    38.4686
178        Baylor                          6-1-0    38.4155
179        Ohio St                         4-1-0    38.3471
180        Pittsburgh                      4-2-0    38.318
181        South Florida                   2-5-0    38.0332
182        Pittsburgh                      2-4-0    37.9862
183        Missouri St                     0-1-0    37.8945
184        Penn St                         4-4-0    37.8133
185        Southern Miss                   1-4-0    37.6207
186        Virginia Tech                   2-4-0    37.6034
187        Mississippi St                  4-1-0    37.5393
188        Connecticut                     2-4-0    37.2041
189        North Carolina St               4-3-0    37.1748
190        Iowa                            3-2-0    37.1111
191        Kansas                          0-1-0    37.1001
