Rank     Team                            W-L-T    Rating
1        Camp Hancock                    2-0-0    41.2941
2        Sewanee                         1-0-0    35.0
3        Southwestern (Texas)            2-0-0    35.0
4        Navy                            3-0-0    35.0
5        Minnesota                       2-0-0    35.0
6        Oklahoma                        2-0-0    35.0
7        North Carolina State            1-0-0    35.0
8        Oklahoma                        1-0-0    35.0
9        Grinnell                        1-0-0    35.0
10        Newport NTS                     1-0-0    35.0
11        Drake                           2-0-0    35.0
12        Georgia Tech                    3-0-0    35.0
13        Oregon                          1-0-0    35.0
14        Auburn                          1-0-0    35.0
15        Syracuse                        1-0-0    35.0
16        Vanderbilt                      3-0-0    35.0
17        Washington & Jefferson          1-0-0    35.0
18        Chicago                         3-0-0    34.3088
19        Syracuse                        4-0-0    34.1429
20        Colorado Mines                  2-0-0    33.8
21        Barron Field                    1-0-0    33.5
22        Camp Griffin                    1-0-0    33.0
23        California                      1-0-0    33.0
24        Mare Island Marines             6-0-0    33.0
25        Iowa                            4-0-0    32.0909
26        Texas Christian                 2-0-0    31.5
27        Dartmouth                       3-0-0    31.0
28        Oklahoma State                  2-0-0    31.0
29        Illinois                        3-0-0    30.75
30        Garden City                     1-0-0    30.75
31        Texas                           7-0-0    30.6667
32        Washington (Missouri)           2-0-0    30.5
33        Vanderbilt                      0-2-0    30.3529
34        Pittsburgh                      4-0-0    29.2
35        Great Lakes Navy                2-0-0    29.0
36        California                      4-0-0    28.6
37        Camp Greenleaf                  1-0-0    28.2941
38        Wake Forest                     1-0-0    28.0
39        Vanderbilt                      1-0-0    28.0
40        Clemson                         1-0-0    28.0
41        Wisconsin                       1-0-0    28.0
42        Northern Colorado               1-0-0    27.8
43        Oklahoma                        3-0-0    27.3333
44        Brown                           1-0-0    27.2857
45        Multnomah A.C.                  1-0-0    27.0
46        Presbyterian                    1-0-0    27.0
47        Camp MacDowell                  1-0-0    27.0
48        Lehigh                          2-0-0    26.75
49        Texas A&M                       1-0-0    26.5
50        Nebraska                        2-0-0    26.5
51        Mare Island Marines             4-0-0    26.5
52        Davidson                        1-0-0    26.3529
53        Great Lakes Navy                2-0-0    26.25
54        Washington (Missouri)           4-0-0    26.1667
55        Mather Field                    2-0-0    26.0
56        Mare Island Navy                1-0-0    26.0
57        Southern Methodist              2-0-0    25.5
58        Sewanee                         1-0-0    25.0
59        Minnesota                       1-0-0    25.0
60        Kentucky                        2-0-0    24.5
61        Arkansas                        1-0-0    24.0
