Rank     Team                            W-L-T    Rating
1        Alabama                         8-1-0    81.729
2        Oregon                          6-0-0    74.8595
3        Texas A&M                       6-0-0    72.9135
4        Alabama                         5-0-0    71.7184
5        Oklahoma St                     7-1-0    70.4
6        Florida                         4-0-0    68.4493
7        Kansas St                       7-1-0    65.4268
8        Texas A&M                       5-2-0    64.7577
9        Georgia                         8-1-0    63.3509
10        Baylor                          6-1-0    62.7354
11        Nebraska                        7-0-0    62.2985
12        Stanford                        8-0-0    61.4838
13        TCU                             5-1-0    61.302
14        Florida St                      7-1-0    61.0767
15        Texas                           4-1-0    61.0756
16        LSU                             7-1-0    60.1478
17        Notre Dame                      5-1-0    60.1386
18        Oregon                          6-1-0    59.3888
19        South Carolina                  8-0-0    59.1113
20        Clemson                         7-1-0    58.9938
21        Southern Cal                    4-2-0    57.5854
22        Utah St                         4-1-0    57.2151
23        Arizona St                      5-2-0    56.636
24        LSU                             3-1-0    55.4961
25        Louisiana Tech                  4-2-0    55.3565
26        Michigan                        6-0-0    55.2729
27        Ohio State                      8-0-0    55.0006
28        Mississippi                     5-3-0    54.8291
29        North Carolina St               5-0-0    54.6879
30        Oklahoma                        6-1-0    54.4772
31        Florida                         7-1-0    54.3082
32        Washington                      5-1-0    54.1285
33        Ohio State                      4-0-0    54.0196
34        Cincinnati                      6-0-0    53.8629
35        Georgia                         4-0-0    53.436
36        Kansas St                       4-1-0    53.305
37        Notre Dame                      7-0-0    53.2816
38        Wisconsin                       2-3-0    53.0741
39        Arizona                         7-2-0    53.0542
40        Tulsa                           8-0-0    52.9594
41        Syracuse                        5-2-0    52.9274
42        Clemson                         4-1-0    52.9214
43        Oregon St                       6-1-0    52.8248
44        SMU                             5-1-0    52.6728
45        Michigan                        2-3-0    52.6156
46        Wisconsin                       6-2-0    51.6597
47        West Virginia                   4-3-0    50.7565
48        Florida St                      5-1-0    50.4889
49        South Carolina                  3-2-0    50.3459
50        Southern Cal                    3-3-0    50.3456
51        Michigan St                     5-1-0    50.197
52        Texas Tech                      5-2-0    50.0213
53        Penn State                      5-2-0    49.7302
54        Oregon St                       3-3-0    49.6096
55        Stanford                        4-2-0    48.8985
56        Central Florida                 6-1-0    48.8539
57        Vanderbilt                      4-1-0    48.8396
58        Louisville                      6-1-0    48.7109
59        Oklahoma                        4-2-0    48.6511
60        Kent St                         5-1-0    48.1339
61        San Jose St                     6-1-0    48.1099
62        Northwestern                    6-1-0    47.7044
63        Northwestern                    4-2-0    47.5377
64        Mississippi St                  6-2-0    47.3752
65        Iowa St                         2-2-0    47.2171
66        Rutgers                         5-1-0    47.1369
67        Vanderbilt                      5-2-0    47.0905
68        Eastern Kentucky                4-0-0    47.0559
69        Utah St                         7-0-0    46.9367
70        Ashland                         5-0-0    46.8409
71        Utah                            4-2-0    46.7655
72        Auburn                          3-3-0    46.6461
73        Cincinnati                      4-2-0    46.5062
74        San Jose St                     5-1-0    46.2926
75        Brigham Young                   4-1-0    45.964
76        Fresno St                       6-1-0    45.7068
77        Boise St                        5-1-0    45.5632
78        Texas                           5-3-0    45.3135
79        UCLA                            5-3-0    45.1559
80        Virginia Tech                   6-2-0    45.1376
81        Northern Illinois               6-1-0    44.9603
82        Northern Illinois               6-1-0    44.869
83        NW Missouri St                  6-1-0    44.803
84        Ball St                         4-1-0    44.5807
85        Kansas                          0-1-0    44.3756
86        Tennessee                       5-3-0    44.1671
87        Toledo                          5-1-0    44.0046
88        Saginaw Valley St               5-1-0    43.8106
89        Missouri                        3-4-0    43.5023
90        South Dakota St                 6-0-0    43.1795
91        Arkansas St                     4-2-0    43.1734
92        Texas Tech                      3-3-0    43.1077
93        North Dakota St                 6-0-0    43.0668
94        East Carolina                   5-1-0    42.994
95        Mississippi St                  0-1-0    42.6553
96        Western Carolina                0-1-0    42.6553
97        Florida Atlantic                0-1-0    42.6553
98        Auburn                          0-1-0    42.6553
99        Western Kentucky                0-1-0    42.6553
100        UCLA                            4-2-0    42.5285
101        Florida                         0-1-0    42.5096
102        Middle Tennessee St             5-0-0    42.3891
103        Brigham Young                   3-3-0    42.3828
104        Boston College                  0-1-0    42.2122
105        Minnesota                       4-3-0    42.0328
106        SMU                             0-1-0    41.9872
107        Mississippi                     2-3-0    41.9537
108        Arkansas                        3-4-0    41.8815
109        Louisiana-Lafayette             6-1-0    41.8811
110        Navy                            3-2-0    41.679
111        California                      2-4-0    41.306
112        Michigan Tech                   4-1-0    41.2308
113        Minnesota-Duluth                6-0-0    41.0507
114        Iowa St                         3-4-0    41.0157
115        Miami FL                        4-2-0    40.9412
116        Arkansas                        0-1-0    40.792
117        Eastern Illinois                5-0-0    40.7908
118        Kentucky                        2-4-0    40.5576
119        Arizona St                      3-3-0    40.2366
120        Louisville                      5-1-0    40.236
121        Michigan St                     0-1-0    40.2122
122        Colorado St                     3-1-0    40.1739
123        Boise St                        5-1-0    40.1078
124        Air Force                       5-1-0    39.9717
125        Missouri                        2-2-0    39.8988
126        Indiana                         2-4-0    39.6535
127        Purdue                          4-2-0    39.5728
128        Fresno St                       3-3-0    39.4609
129        Central Florida                 4-3-0    39.4323
130        Grand Valley St                 4-1-0    39.4169
131        Washington St                   1-1-0    39.3749
132        Missouri Western                6-1-0    39.2682
133        San Diego St                    6-1-0    39.0783
134        Mississippi St                  2-2-0    38.9973
135        Nevada                          5-2-0    38.7634
136        Wisconsin                       0-1-0    38.7512
137        TCU                             2-5-0    38.7345
138        South Florida                   2-3-0    38.461
139        Michigan St                     2-4-0    38.3296
140        Georgia Tech                    3-3-0    38.3175
141        Arkansas St                     6-1-0    38.1188
142        Penn State                      3-2-0    38.0314
143        Rutgers                         4-2-0    37.9881
144        Stephen F. Austin               5-0-0    37.9157
145        Louisiana-Monroe                5-2-0    37.8135
146        Western Kentucky                4-2-0    37.6702
147        Tennessee St                    6-0-0    37.6088
148        Eastern Washington              7-1-0    37.5143
149        Ball St                         5-3-0    37.4914
150        Samford                         4-1-0    37.4595
151        North Carolina                  6-1-0    37.4227
152        Albany NY                       4-0-0    37.4072
153        West Virginia                   3-3-0    37.3564
154        Louisiana Tech                  5-1-0    37.3529
155        Duke                            5-3-0    37.2581
156        Ashland                         5-1-0    37.2544
157        Minn St-Mankato                 5-0-0    37.2155
158        Cincinnati                      0-1-0    37.2105
159        Oklahoma St                     1-4-0    37.1137
160        Kent St                         6-2-0    36.9706
161        Valdosta St                     5-1-0    36.9096
162        Syracuse                        3-3-0    36.7553
163        Arizona                         1-2-0    36.7281
164        Eastern Kentucky                4-1-0    36.3888
165        Missouri                        0-1-0    36.2345
166        Michigan                        0-2-0    36.2164
167        Pittsburgh                      4-2-0    36.0823
168        Kansas                          1-4-0    36.0693
169        Baylor                          2-4-0    35.9562
170        Georgia Southern                6-1-0    35.9232
171        Louisiana-Lafayette             3-3-0    35.7148
172        Ohio U.                         5-1-0    35.6507
173        Jacksonville St                 5-0-0    35.4083
174        San Diego St                    3-2-0    35.4062
175        Central Arkansas                6-0-0    35.3486
176        Minn St-Mankato                 8-1-0    35.3
177        Connecticut                     3-2-0    35.2417
178        LSU                             0-1-0    35.2345
179        Georgia Tech                    4-4-0    35.0971
180        North Dakota St                 8-1-0    35.0701
181        North Carolina                  2-3-0    34.7801
182        Troy                            2-4-0    34.7491
183        Miami FL                        3-2-0    34.7064
184        Sam Houston St                  6-3-0    34.6268
185        Winston-Salem St                9-0-0    34.5119
186        Grand Valley St                 4-2-0    34.35
187        Southern Illinois               3-1-0    34.2372
188        Miami OH                        3-2-0    33.906
189        Buffalo                         3-1-0    33.8851
190        Houston                         4-2-0    33.8736
191        Ashland                         1-0-0    33.8106
192        Rice                            4-3-0    33.7784
193        Ohio U.                         4-2-0    33.647
194        Central Washington              5-0-0    33.4993
195        Wofford                         6-0-0    33.4051
196        Old Dominion                    5-0-0    33.3484
197        Wofford                         3-1-0    33.3142
198        Bloomsburg                      5-0-0    33.2102
199        Navy                            0-1-0    33.1835
200        Iowa                            2-3-0    33.0922
201        Appalachian St                  4-1-0    33.09
202        Ferris St                       5-1-0    33.0578
203        Bowling Green                   5-2-0    33.0572
204        Cal Poly SLO                    5-0-0    33.0456
205        Indiana PA                      7-0-0    32.9806
206        Montana St                      6-2-0    32.7422
207        Central Michigan                4-3-0    32.4123
208        Tennessee                       0-4-0    32.4083
209        Henderson St                    5-0-0    31.9484
210        South Dakota St                 3-2-0    31.7432
211        Nebraska                        3-4-0    31.6588
212        Central Arkansas                3-3-0    31.5965
