Rank     Team                            W-L-T    Rating
1        Mississippi St                  6-0-0    74.4749
2        TCU                             6-0-0    73.1448
3        Alabama                         6-0-0    72.2549
4        Kansas St                       5-1-0    69.4778
5        Missouri                        4-0-0    68.8534
6        Oregon                          5-1-0    68.8498
7        Oregon                          4-0-0    68.7039
8        Auburn                          5-1-0    68.442
9        Auburn                          2-1-0    67.0558
10        Mississippi                     6-1-0    66.4766
11        Ohio State                      5-0-0    66.3056
12        Arizona                         3-0-0    66.2938
13        Wisconsin                       6-0-0    63.9579
14        Georgia                         5-0-0    63.4608
15        Oklahoma                        5-1-0    62.2796
16        Texas A&M                       3-1-0    62.1184
17        UCLA                            6-0-0    62.0919
18        Southern Cal                    4-1-0    61.5141
19        Alabama                         3-1-0    61.3249
20        Texas                           3-0-0    61.2758
21        Clemson                         5-0-0    61.0045
22        Florida St                      5-0-0    60.8418
23        Miami FL                        5-1-0    60.8218
24        Nebraska                        6-0-0    60.672
25        Minnesota                       6-1-0    60.345
26        Ohio State                      4-1-0    59.9398
27        UCLA                            2-2-0    59.4212
28        Utah                            4-1-0    58.8263
29        Texas                           3-2-0    58.6246
30        Michigan St                     5-1-0    58.5513
31        Arizona St                      4-1-0    58.5094
32        Stanford                        4-2-0    58.3427
33        Baylor                          4-1-0    57.3553
34        Boise St                        5-0-0    56.8513
35        Oklahoma                        2-2-0    56.5713
36        Coastal Carolina                4-0-0    56.5019
37        Arkansas                        4-2-0    56.3384
38        Mississippi St                  3-1-0    56.1591
39        Tennessee                       4-1-0    55.7901
40        Mississippi                     2-0-0    55.4474
41        Michigan St                     3-1-0    55.2532
42        Arizona                         5-1-0    54.6117
43        Memphis                         4-1-0    54.4715
44        Virginia Tech                   3-1-0    54.2988
45        Baylor                          4-0-0    54.2579
46        Notre Dame                      4-1-0    54.2182
47        Colorado St                     5-0-0    53.5462
48        Illinois St                     6-0-0    53.2359
49        LSU                             1-0-0    53.0907
50        West Virginia                   3-2-0    52.8882
51        Georgia Tech                    4-1-0    52.8708
52        Marshall                        5-0-0    52.6832
53        Texas A&M                       4-2-0    52.286
54        Oklahoma St                     4-2-0    51.8248
55        Utah                            3-2-0    51.7809
56        Florida                         2-1-0    51.7558
57        Virginia                        4-2-0    51.6974
58        Toledo                          4-1-0    51.6122
59        East Carolina                   4-0-0    51.537
60        Northwestern                    2-1-0    51.5276
61        Georgia                         3-2-0    51.3323
62        Southern Cal                    3-2-0    51.1859
63        Central Florida                 5-0-0    51.0745
64        TCU                             3-1-0    50.9365
65        California                      2-2-0    50.6773
66        North Dakota St                 5-0-0    50.5949
67        Arkansas St                     4-1-0    50.5638
68        West Virginia                   3-2-0    50.5165
69        Maryland                        4-0-0    50.4589
70        Air Force                       5-0-0    50.3245
71        Florida St                      5-0-0    50.2976
72        North Carolina                  4-1-0    49.958
73        LSU                             6-2-0    49.7104
74        North Dakota St                 5-0-0    49.517
75        Michigan                        4-2-0    49.4595
76        Arizona St                      4-1-0    49.3638
77        Texas-San Antonio               2-1-0    49.3412
78        Minnesota                       1-1-0    49.0295
79        Western Kentucky                4-1-0    48.6973
80        South Carolina                  3-3-0    48.6863
81        Kansas St                       2-1-0    48.6449
82        Kentucky                        5-2-0    48.4756
83        Louisville                      3-2-0    48.1507
84        Georgia Southern                4-0-0    47.9956
85        Louisville                      4-1-0    47.9089
86        South Dakota St                 4-1-0    47.4636
87        New Hampshire                   6-0-0    47.4188
88        Nebraska                        2-2-0    47.3337
89        Marshall                        5-0-0    46.9177
90        South Carolina                  2-2-0    46.8778
91        Florida                         3-3-0    46.8446
92        Middle Tennessee St             4-0-0    46.7564
93        Utah St                         3-2-0    46.7221
94        Penn State                      4-2-0    46.5649
95        Boston College                  4-0-0    46.5634
96        Arkansas                        1-3-0    46.5542
97        California                      3-2-0    46.5133
98        Duke                            4-1-0    46.3261
99        Kansas                          3-2-0    45.7296
100        Tennessee                       0-1-0    45.5097
101        Cincinnati                      4-1-0    44.965
102        Duke                            4-1-0    44.8747
103        Purdue                          1-2-0    44.6208
104        Colorado St                     4-1-0    44.5018
105        Michigan Tech                   4-0-0    44.408
106        Louisiana Tech                  3-1-0    44.2094
107        Illinois                        4-2-0    44.1074
108        Missouri                        4-1-0    43.8521
109        Georgia Tech                    5-1-0    43.7126
110        Oklahoma St                     1-1-0    43.3498
111        Utah St                         5-0-0    43.0773
112        Jacksonville St                 5-0-0    43.0701
113        Notre Dame                      3-2-0    42.6127
114        Ferris St                       5-0-0    42.3529
115        North Carolina St               2-1-0    42.3301
116        Virginia Tech                   2-3-0    42.2103
117        Nevada                          3-2-0    42.1843
118        Tennessee                       1-2-0    42.1522
119        Louisiana Tech                  4-2-0    42.117
120        Washington                      3-3-0    42.1051
121        Louisiana-Lafayette             3-1-0    42.0167
122        Ohio Dominican                  5-0-0    41.9841
123        Colorado St-Pueblo              5-0-0    41.7267
124        Maryland                        2-3-0    41.618
125        Pittsburgh                      2-2-0    41.5457
126        Northern Iowa                   4-1-0    41.509
127        Washington                      3-2-0    41.4266
128        Carroll MT                      5-0-0    41.4064
129        Oregon St                       3-3-0    41.1682
130        Florida Atlantic                3-1-0    40.911
131        Central Michigan                4-2-0    40.3477
132        Cincinnati                      2-2-0    40.3419
133        Syracuse                        0-1-0    40.2506
134        Iowa                            4-1-0    40.2164
135        SE Louisiana                    6-0-0    40.1549
136        Boston College                  2-4-0    40.0119
