Rank     Team                            W-L-T    Schedule Factor
1        Southern Miss                   0-1-0    70.721
2        Oklahoma St                     0-1-0    69.3909
3        Minnesota                       0-1-0    69.3909
4        Texas A&M                       0-1-0    68.5009
5        Auburn                          2-1-0    66.3892
6        Tulsa                           0-1-0    66.0335
7        Texas                           0-1-0    65.7239
8        Oklahoma St                     0-1-0    65.0297
9        Kansas                          0-1-0    65.0297
10        Memphis                         0-1-0    62.7226
11        Tennessee                       0-1-0    62.7226
12        Florida Atlantic                0-2-0    62.7095
13        Maryland                        0-1-0    60.204
14        Troy                            0-1-0    59.7069
15        Auburn                          0-1-0    59.7069
16        UCLA                            2-2-0    58.9212
17        LSU                             0-2-0    58.6363
18        Tulane                          0-1-0    58.2254
19        North Carolina St               0-1-0    57.2506
20        Syracuse                        0-1-0    57.2506
21        San Jose St                     0-1-0    56.591
22        Arizona                         0-1-0    55.6672
23        Tennessee                       0-1-0    55.5097
24        Penn State                      0-1-0    55.2816
25        Missouri                        0-1-0    55.0862
26        South Carolina St               0-2-0    54.9993
27        SMU                             0-3-0    54.8862
28        North Texas                     0-1-0    54.8707
29        Jacksonville St                 0-1-0    54.7974
30        UC-Davis                        0-1-0    54.5888
31        Army                            0-1-0    54.5888
32        South Dakota                    0-1-0    54.3488
33        Weber St                        0-1-0    54.3488
34        Arkansas                        1-3-0    54.3042
35        Texas Tech                      1-3-0    53.9692
36        Oklahoma St                     1-1-0    53.8498
37        Alabama                         3-1-0    53.3249
38        Louisiana-Lafayette             0-1-0    53.0973
39        Illinois                        0-4-0    52.9148
40        Tennessee                       1-2-0    52.4855
41        Stanford                        1-3-0    52.1667
42        North Carolina                  1-4-0    52.1019
43        Utah St                         0-1-0    52.0362
44        Florida Int'l                   0-1-0    51.9046
45        Syracuse                        0-1-0    51.9046
46        Iowa St                         1-4-0    51.8804
47        Texas                           0-2-0    51.3567
48        Oklahoma                        2-2-0    51.3213
49        Purdue                          1-2-0    51.2875
50        Kansas St                       2-1-0    50.9782
51        Northwestern St                 0-1-0    50.5039
52        Wyoming                         0-1-0    50.476
53        Michigan                        0-1-0    50.4643
54        Syracuse                        1-5-0    50.3571
55        Massachusetts                   0-1-0    50.3173
56        Vanderbilt                      0-2-0    49.9025
57        Alabama-Birmingham              2-3-0    49.6817
58        Utah                            4-1-0    49.6263
59        Missouri St                     0-1-0    49.482
60        Mississippi Valley St           0-1-0    49.482
61        Mississippi St                  6-0-0    49.4749
62        Washington St                   1-5-0    49.2854
63        Texas                           3-2-0    49.2246
64        Texas A&M                       3-1-0    49.1184
65        Arizona                         3-0-0    48.6271
66        Lamar                           0-1-0    48.5321
67        West Virginia                   3-2-0    48.5165
68        California                      2-2-0    48.1773
69        North Carolina Central          0-1-0    47.7831
70        Florida                         2-1-0    47.4224
71        Tulsa                           0-1-0    47.3206
72        Bethune-Cookman                 0-1-0    47.3206
73        Colorado                        1-3-0    47.0862
74        South Carolina                  3-3-0    46.853
75        SMU                             0-2-0    46.6433
76        Maryland                        2-3-0    46.618
77        Wake Forest                     0-1-0    46.5437
78        Oregon                          4-0-0    46.4539
79        Western Illinois                0-2-0    46.2701
80        South Carolina                  2-2-0    46.1278
81        Missouri                        4-0-0    46.1034
82        Texas-San Antonio               2-1-0    46.0078
83        Mississippi                     0-1-0    45.9565
84        Kentucky                        0-1-0    45.9565
85        Sam Houston St                  0-1-0    45.9565
86        New Mexico St                   0-1-0    45.9565
87        Louisiana-Monroe                0-1-0    45.9565
88        Walsh                           0-1-0    45.7381
89        Tiffin                          0-1-0    45.7381
90        Arizona St                      4-1-0    45.7094
91        Texas Tech                      2-4-0    45.5297
92        Rutgers                         2-2-0    45.4416
93        Wyoming                         1-4-0    45.3456
94        Iowa St                         1-3-0    45.3449
95        UCLA                            6-0-0    45.2585
96        Alabama                         6-0-0    45.2549
97        South Alabama                   0-2-0    45.2114
98        California                      0-1-0    45.1805
99        Auburn                          5-1-0    45.1087
100        Ohio State                      5-0-0    45.1056
101        Kentucky                        0-3-0    45.075
102        Southern Cal                    3-2-0    44.9859
103        Ohio U.                         0-1-0    44.7217
104        Vanderbilt                      0-1-0    44.7217
105        Kansas                          0-3-0    44.3047
106        TCU                             6-0-0    44.1448
107        Colorado                        1-5-0    44.1276
108        Vanderbilt                      0-2-0    44.1167
109        Oklahoma                        5-1-0    44.113
110        Eastern Michigan                0-1-0    44.1017
111        Oregon                          5-1-0    44.0165
112        Utah                            3-2-0    43.9809
113        Florida                         3-3-0    43.8446
114        Washington St                   2-2-0    43.8175
115        Eastern Michigan                0-2-0    43.8003
116        Minnesota                       6-1-0    43.7735
117        Virginia Tech                   3-1-0    43.5488
118        Nebraska                        2-2-0    43.3337
119        Kansas St                       5-1-0    43.3112
120        Michigan Tech                   0-1-0    43.2477
121        Southern Miss                   1-4-0    43.1638
122        LSU                             1-0-0    43.0907
123        Mississippi                     6-1-0    43.048
124        Florida St                      5-0-0    43.0418
125        Minnesota                       1-1-0    43.0295
126        Oregon St                       2-2-0    43.0254
127        Northwestern                    2-1-0    42.861
128        Akron                           0-1-0    42.811
129        Massachusetts                   0-1-0    42.811
130        Elon                            0-2-0    42.7151
