Away Team, Away Score, Home Team, Home Score
St Xavier,49,Bethel TN,32
Southern Virginia,21,Concord,72
Rocky Mountain,21,Dickinson St,25
SE Oklahoma St,13,Henderson St,44
Bemidji St,24,Minot St,7
Minn St-Moorhead,0,Missouri Southern,30
Emporia St,27,SW Oklahoma St,7
Dixie St,14,Adams St,34
Morehouse,34,Benedict,27
Edward Waters,27,Brevard,53
Kentucky Christian,7,Campbellsville,34
Winona St,24,Carson-Newman,21
Pittsburg St,31,Central Oklahoma,20
Minnesota-Duluth,35,Central Washington,10
Mary,3,Chadron St,35
Washburn,34,Colorado Mines,29
Midland,38,Dakota St,7
Southern Nazarene,21,Eastern New Mexico,59
Southern Oregon,34,Eastern Oregon,30
Johnson C. Smith,27,Elizabeth City St,45
Western St CO,20,Fort Hays St,45
Black Hills St,0,Grand View,28
Bacone,20,Haskell,16
Langston,28,Incarnate Word,20
Albany St GA,42,Kentucky St,12
Clark Atlanta,20,Lane,6
Chowan,10,Lenoir-Rhyne,59
St Francis IL,17,Marian IN,37
North Greenville,30,Mars Hill,36
Cumberlands KY,27,McKendree,34
Fort Valley St,24,Miles,3
South Dakota Tech,13,Montana Tech,6
Montana St-Northern,20,Montana-Western,3
Wayne St NE,24,Nebraska-Kearney,17
Mercyhurst,23,Notre Dame OH,0
Colorado St-Pueblo,26,OK Panhandle St,14
Baker,14,Ottawa,24
Concordia NE,13,Peru St,7
Bowie St,14,Seton Hill,20
Shepherd,35,Shippensburg,27
Truman St,23,St Joseph's IN,13
Central Missouri,60,SW Baptist,13
Belhaven,58,Texas College,3
Iowa Wesleyan,6,Trinity Int'l,16
Charleston WV,12,Tusculum,24
Trinity Bible,0,Valley City St,44
Livingstone,6,Virginia St,30
Virginia-Wise,10,Webber Int'l,30
Shorter,7,West Alabama,37
Wingate,10,West Georgia,7
Olivet Nazarene,9,West Virginia Tech,31
Virginia Union,13,Winston-Salem St,47
St Paul's,28,WV Wesleyan,35
Florida Atlantic,32,Alabama-Birmingham,31
Taylor,42,Anderson,20
Lambuth,19,Arkansas Tech,34
West Alabama,27,Arkansas-Monticello,20
Cumberland TN,6,Austin Peay,38
Wooster,14,Baldwin-Wallace,38
SE Missouri St,10,Ball St,27
Rhode Island,0,Buffalo,31
Bentley,28,Carson-Newman,35
Elizabeth City St,20,Central Arkansas,47
Hampton,0,Central Michigan,33
Fairmont St,27,Clarion,16
West Chester,0,Delaware,31
Rockford,7,Dubuque,41
Lake Erie,20,Gannon,26
Shorter,7,Georgia St,41
West Virginia Tech,10,Glenville St,44
West Texas A&M,31,Grand Valley St,34
Southern Cal,49,Hawai`i,36
North Dakota,0,Idaho,45
Central Missouri,54,Illinois St,55
Towson,17,Indiana,51
Northern Illinois,10,Iowa St,27
Murray St,10,Kent St,41
Indianapolis,38,Kentucky Wesleyan,10
Evangel,7,Lindenwood,68
Albany NY,3,Maine,0
Florida A&M,0,Miami FL,45
Minnesota,24,Middle Tennessee St,17
Northern Michigan,6,Minn St-Mankato,7
Mayville St,6,Minnesota-Crookston,37
Mesa St,3,Missouri Western,36
Eastern Washington,24,Nevada,49
Midwestern St,52,New Mexico Highlands,6
Johnson C. Smith,0,North Carolina Central,59
Western New Mexico,0,Northern Arizona,48
TAMU-Kingsville,16,NW Missouri St,7
UW-River Falls,21,Ohio Northern,35
Marshall,7,Ohio State,45
Texas College,0,Ouachita Baptist,70
Norfolk St,0,Rutgers,31
Merrimack,26,Slippery Rock,45
Southern Miss,13,South Carolina,41
Quincy,7,Southern Illinois,70
Mass Maritime,12,SUNY-Maritime,15
Northern St SD,24,SW Minnesota St,28
Northeastern St OK,31,Tarleton St,23
Malone,21,Tiffin,31
Manchester,7,Trine,55
SE Louisiana St,21,Tulane,27
Pittsburgh,24,Utah,27
Presbyterian,13,Wake Forest,53
Valparaiso,0,Western Illinois,45
UW-Stout,13,Black Hills St,14
Augustana IL,28,Greenville,7
Ferris St,17,Hillsdale,35
Otterbein,38,Husson,0
Sacred Heart,28,Marist,25
Eastern Kentucky,9,Missouri St,31
William Paterson,15,New Jersey,7
King's PA,7,Springfield,31
Villanova,24,Temple,31
Arizona,41,Toledo,2
Nichols,21,Westfield St,43
Northwestern St,21,Air Force,65
Syracuse,29,Akron,3
San Jose St,3,Alabama,48
Mississippi Valley St,6,Alabama St,34
Butler,29,Albion,13
Ursinus,21,Albright,13
Langston,27,Alcorn St,50
Widener,0,Alfred,37
Heidelberg,42,Alma,23
C.W. Post,20,American Int'l,11
