Rank   Team                            W-L-T     Rating
   1   Alabama                         11-1-0    78.6072
   2   TCU                             10-1-0     77.564
   3   Georgia                         9-3-0    75.6399
   4   Mississippi                     9-3-0    75.3049
   5   Oregon                          11-1-0    74.6751
   6   Baylor                          10-1-0    74.2598
   7   Auburn                          8-4-0    73.0698
   8   Mississippi St                  10-2-0    72.8305
   9   Oklahoma                        8-3-0    72.5283
  10   Michigan St                     10-2-0     72.458
  11   Ohio St                         11-1-0    71.6699
  12   LSU                             8-4-0    70.5491
  13   Kansas St                       9-2-0    70.4936
  14   Wisconsin                       10-2-0    70.1026
  15   Arkansas                        6-6-0    70.0717
  16   Southern Cal                    8-4-0    65.5499
  17   Florida                         6-5-0    64.6037
  18   Missouri                        10-2-0    64.5494
  19   Georgia Tech                    10-2-0    64.4974
  20   UCLA                            9-3-0    64.3096
  21   Florida St                      12-0-0    63.9842
  22   Arizona                         10-2-0    63.6617
  23   Tennessee                       6-6-0    63.5255
  24   Texas A&M                       7-5-0    63.3351
  25   Nebraska                        9-3-0    63.1608
  26   West Virginia                   7-5-0    63.1197
  27   Clemson                         9-3-0    62.1635
  28   Stanford                        7-5-0    62.0396
  29   Louisville                      9-3-0    60.9038
  30   Arizona St                      9-3-0    60.8903
  31   Marshall                        11-1-0    60.2947
  32   Minnesota                       8-4-0    59.3019
  33   Utah                            8-4-0    58.2695
  34   Boise St                        10-2-0     58.029
  35   Miami FL                        6-6-0    57.3877
  36   South Carolina                  6-6-0      57.37
  37   Notre Dame                      7-5-0    57.2829
  38   Louisiana Tech                  8-4-0    57.1551
  39   Washington                      8-5-0    56.9516
  40   Texas                           6-6-0    56.7592
  41   Memphis                         9-3-0    56.4366
  42   Duke                            9-3-0     55.649
  43   Iowa                            7-5-0     55.557
  44   Boston College                  7-5-0    54.8636
  45   Virginia Tech                   6-6-0    54.5018
  46   Virginia                        5-7-0    54.2556
  47   Pittsburgh                      6-6-0    54.0777
  48   Kentucky                        5-7-0    53.2381
  49   North Dakota St                 10-1-0    53.0165
  50   Maryland                        7-5-0    52.9849
  51   California                      5-7-0    52.4258
  52   Colorado St                     10-2-0    52.3852
  53   Cincinnati                      8-3-0    51.8111
  54   Penn St                         6-6-0    51.8023
  55   Brigham Young                   8-4-0    51.6871
  56   Michigan                        5-7-0    51.3793
  57   East Carolina                   8-3-0    50.6151
  58   North Carolina St               7-5-0     50.294
  59   Northwestern                    5-7-0    50.1833
  60   Oklahoma St                     5-6-0    49.8539
  61   Central Florida                 8-3-0    49.7137
  62   Northern Iowa                   7-4-0    48.8833
  63   Utah St                         9-4-0    48.6191
