Rank	Team                            W-L-T	Rating
1		Oregon                          11-1-0	74.1374
2		Alabama                         11-1-0	72.9726
3		TCU                             10-1-0	71.259
4		Mississippi                     9-3-0	69.7882
5		Georgia                         9-3-0	68.4141
6		Ohio St                         11-1-0	68.0051
7		Michigan St                     10-2-0	67.0117
8		Kansas St                       9-2-0	66.9451
9		Auburn                          8-4-0	66.7902
10		Baylor                          10-1-0	66.7742
11		Mississippi St                  10-2-0	66.6565
12		Florida St                      12-0-0	65.6343
13		Oklahoma                        8-3-0	65.4694
14		Wisconsin                       10-2-0	65.314
15		Georgia Tech                    10-2-0	64.0934
16		UCLA                            9-3-0	64.0214
17		Missouri                        10-2-0	63.6474
18		Southern Cal                    8-4-0	63.3668
19		Arizona                         10-2-0	63.359
20		LSU                             8-4-0	60.9088
21		Arkansas                        6-6-0	60.6802
22		Arizona St                      9-3-0	60.6669
23		Nebraska                        9-3-0	60.4895
24		Stanford                        7-5-0	58.309
25		Louisville                      9-3-0	58.2928
26		Boise St                        10-2-0	57.9541
27		Clemson                         9-3-0	57.9252
28		West Virginia                   7-5-0	56.925
29		Tennessee                       6-6-0	56.6399
30		Utah                            8-4-0	56.3609
31		Marshall                        11-1-0	56.0952
32		Texas A&M                       7-5-0	56.007
33		Minnesota                       8-4-0	55.8882
34		Florida                         6-5-0	55.6649
35		Notre Dame                      7-5-0	54.9852
36		Washington                      8-5-0	54.876
37		Miami FL                        6-6-0	53.5812
38		Colorado St                     10-2-0	52.9646
39		Boston College                  7-5-0	52.6609
40		Duke                            9-3-0	52.0389
41		Texas                           6-6-0	52.0088
42		Iowa                            7-5-0	51.4546
43		South Carolina                  6-6-0	51.2112
44		Virginia Tech                   6-6-0	51.1848
45		North Dakota St                 10-1-0	50.5509
46		Memphis                         9-3-0	50.5036
47		Louisiana Tech                  8-4-0	50.0681
48		Virginia                        5-7-0	49.6342
49		Maryland                        7-5-0	49.6229
50		North Carolina St               7-5-0	48.456
51		Utah St                         9-4-0	47.7588
52		Pittsburgh                      6-6-0	47.6977
53		Cincinnati                      8-3-0	47.3726
54		California                      5-7-0	46.9359
55		East Carolina                   8-3-0	46.8981
56		Brigham Young                   8-4-0	46.8425
57		Northwestern                    5-7-0	45.6465
