Rank	Team                            W-L-T	Schedule Factor
1		Auburn                          0-6-0	96
2		Tennessee                       0-6-0	267
3		UCLA                            0-6-0	249
4		Mississippi                     0-6-0	33
5		LSU                             0-6-0	157
6		Arkansas                        0-6-0	95
7		Alabama                         0-6-0	85
8		Texas                           0-6-0	236
9		Texas Tech                      0-6-0	242
10		Iowa St                         0-6-0	143
11		Oklahoma                        0-6-0	199
12		West Virginia                   0-6-0	84
13		Texas A&M                       0-6-0	48
14		Colorado                        0-6-0	71
15		Kansas                          0-6-0	483
16		Florida                         0-6-0	433
17		Missouri                        0-6-0	176
18		Oklahoma St                     0-6-0	201
19		Georgia                         0-6-0	127
20		Kentucky                        0-6-0	151
21		South Carolina                  0-6-0	49
22		Vanderbilt                      0-6-0	63
23		Southern Cal                    0-6-0	226
24		Utah                            0-6-0	59
25		Washington St                   0-6-0	65
26		Mississippi St                  0-6-0	174
27		California                      0-6-0	192
28		Kansas St                       0-6-0	147
29		Illinois                        0-6-0	135
30		Notre Dame                      0-6-0	197
31		Purdue                          0-6-0	213
32		Minnesota                       0-6-0	31
33		TCU                             0-6-0	232
34		Michigan                        0-6-0	170
35		Maryland                        0-6-0	161
36		Virginia                        0-6-0	250
37		North Carolina                  0-6-0	189
38		Arizona                         0-6-0	69
39		Syracuse                        0-6-0	79
40		Stanford                        0-6-0	230
41		Northwestern                    0-6-0	193
42		Oregon                          0-6-0	205
43		Indiana                         0-6-0	139
44		Miami FL                        0-6-0	270
45		Arizona St                      0-6-0	15
46		Oregon St                       0-6-0	207
47		Virginia Tech                   0-6-0	252
48		Florida St                      0-6-0	200
49		Georgia Tech                    0-6-0	129
50		SMU                             0-6-0	264
51		Iowa                            0-6-0	141
52		Rutgers                         0-6-0	64
53		Washington                      0-6-0	132
54		Ohio St                         0-6-0	180
55		Nebraska                        0-6-0	183
56		Clemson                         0-6-0	126
57		Michigan St                     0-6-0	77
58		Boston College                  0-6-0	162
59		Wisconsin                       0-6-0	156
60		Penn St                         0-6-0	209
61		Louisville                      0-6-0	271
62		North Carolina St               0-6-0	191
63		Baylor                          0-6-0	265
64		Wake Forest                     0-6-0	26
65		Pittsburgh                      0-6-0	211
66		Tulane                          0-6-0	56
67		Wyoming                         0-6-0	261
68		Southern Miss                   0-6-0	173
69		Boise St                        0-6-0	32
70		Florida Atlantic                0-6-0	182
71		South Florida                   0-6-0	224
72		Tulsa                           0-6-0	57
73		Connecticut                     0-6-0	73
74		San Jose St                     0-6-0	45
75		Hawai`i                         0-6-0	133
76		Louisiana Tech                  0-6-0	198
77		Duke                            0-6-0	113
78		Fresno St                       0-6-0	225
79		Nevada                          0-6-0	185
80		Navy                            0-6-0	181
81		Texas-San Antonio               0-6-0	74
82		New Mexico                      0-6-0	187
83		Cincinnati                      0-6-0	681
84		Rice                            0-6-0	196
85		Utah St                         0-6-0	266
86		UNLV                            0-6-0	68
87		Western Kentucky                0-6-0	81
88		Alabama-Birmingham              0-6-0	87
89		Louisiana-Monroe                0-6-0	27
90		Brigham Young                   0-6-0	72
91		UTEP                            0-6-0	186
92		Eastern Michigan                0-6-0	117
93		Kent St                         0-6-0	149
94		Temple                          0-6-0	62
95		Colorado St                     0-6-0	70
96		South Alabama                   0-6-0	486
97		Georgia St                      0-6-0	11
98		Middle Tennessee St             0-6-0	172
99		Miami OH                        0-6-0	168
100		Toledo                          0-6-0	246
101		Florida Int'l                   0-6-0	119
102		Old Dominion                    0-6-0	203
103		Memphis                         0-6-0	165
104		Central Florida                 0-6-0	208
105		Indiana St                      0-6-0	138
106		San Diego St                    0-6-0	220
107		Troy                            0-6-0	86
108		Louisiana-Lafayette             0-6-0	155
109		Ohio U.                         0-6-0	148
110		Arkansas St                     0-6-0	94
111		South Dakota                    0-6-0	204
112		Central Michigan                0-6-0	23
113		East Carolina                   0-6-0	115
114		Idaho                           0-6-0	506
115		Army                            0-6-0	344
116		Bowling Green                   0-6-0	80
117		New Mexico St                   0-6-0	37
118		South Dakota St                 0-6-0	175
119		Massachusetts                   0-6-0	163
120		Western Illinois                0-6-0	67
121		Missouri St                     0-6-0	40
122		Air Force                       0-6-0	83
123		Northern Illinois               0-6-0	39
124		Northern Iowa                   0-6-0	140
125		Ball St                         0-6-0	98
126		North Texas                     0-6-0	235
127		Houston                         0-6-0	75
128		Western Michigan                0-6-0	212
129		Akron                           0-6-0	13
130		Marshall                        0-6-0	167
131		Georgia Southern                0-6-0	190
132		Texas St-San Marcos             0-6-0	240
133		Southern Illinois               0-6-0	51
134		North Dakota St                 0-6-0	142
135		Southern Utah                   0-6-0	184
136		Appalachian St                  0-6-0	169
137		Buffalo                         0-6-0	106
138		Austin Peay                     0-6-0	164
