Rank	Team                            W-L-T	Schedule Factor
1		Auburn                          8-4-0	56.7068
2		UCLA                            9-3-0	55.6881
3		Tennessee                       6-6-0	54.2233
4		Mississippi                     9-3-0	53.3716
5		Arkansas                        6-6-0	53.2636
6		Colorado                        2-10-0	52.7652
7		LSU                             8-4-0	52.6588
8		Alabama                         11-1-0	52.3893
9		Iowa St                         2-9-0	52.1894
10		Texas Tech                      4-8-0	51.6581
11		Texas                           6-6-0	51.5921
12		Washington St                   3-9-0	51.4718
13		Utah                            8-4-0	51.2776
14		Southern Cal                    8-4-0	51.1168
15		West Virginia                   7-5-0	51.0917
16		Florida                         6-5-0	50.7558
17		Texas A&M                       7-5-0	50.6737
18		California                      5-7-0	50.6025
19		Oklahoma                        8-3-0	50.4694
20		Kansas                          3-9-0	50.2946
21		Oklahoma St                     5-6-0	50.0313
22		Georgia                         9-3-0	49.9975
23		Notre Dame                      7-5-0	49.9852
24		Virginia                        5-7-0	49.8009
25		North Carolina                  6-6-0	49.6079
26		Vanderbilt                      3-9-0	49.5938
27		Illinois                        6-6-0	49.5268
28		Syracuse                        3-9-0	49.4982
29		Missouri                        10-2-0	49.4807
30		South Carolina                  6-6-0	49.4612
31		Stanford                        7-5-0	49.3924
32		Purdue                          3-9-0	49.322
33		Arizona                         10-2-0	49.1924
34		Kentucky                        5-7-0	49.0814
35		Kansas St                       9-2-0	48.9451
36		Miami FL                        6-6-0	48.4978
37		Oregon                          11-1-0	48.4707
38		Mississippi St                  10-2-0	48.3232
39		Michigan                        5-7-0	48.2488
40		Minnesota                       8-4-0	48.2216
41		Virginia Tech                   6-6-0	48.1848
42		Maryland                        7-5-0	48.1229
43		Arizona St                      9-3-0	48.0835
44		TCU                             10-1-0	48.0772
45		Northwestern                    5-7-0	48.0631
46		Oregon St                       5-7-0	47.924
47		Indiana                         4-8-0	47.3835
48		Florida St                      12-0-0	47.051
49		Washington                      8-5-0	47.0299
50		Georgia Tech                    10-2-0	46.7601
51		Iowa                            7-5-0	46.4546
52		Nebraska                        9-3-0	46.4061
53		Rutgers                         7-5-0	46.2341
54		Clemson                         9-3-0	46.1752
55		Ohio St                         11-1-0	46.1717
56		Boston College                  7-5-0	46.1609
57		Michigan St                     10-2-0	45.845
58		SMU                             0-11-0	45.2084
59		Wisconsin                       10-2-0	44.9807
60		Penn St                         6-6-0	44.7324
61		Louisville                      9-3-0	44.4594
62		Pittsburgh                      6-6-0	44.4477
63		North Carolina St               7-5-0	44.3727
64		Wake Forest                     3-9-0	44.1397
65		Wyoming                         4-8-0	43.8492
66		Baylor                          10-1-0	43.3197
67		Tulane                          3-8-0	42.5773
68		Boise St                        10-2-0	42.0375
69		Southern Miss                   3-9-0	41.7349
70		Hawai`i                         4-9-0	39.9703
71		San Jose St                     3-9-0	39.9037
72		South Florida                   4-8-0	39.7233
73		Fresno St                       6-6-0	39.6076
74		Florida Atlantic                3-9-0	39.5189
75		New Mexico                      4-8-0	39.5017
76		Nevada                          7-5-0	39.2901
77		Connecticut                     2-9-0	39.2738
78		Duke                            9-3-0	39.0389
79		Tulsa                           2-10-0	39.0073
80		Louisiana Tech                  8-4-0	38.9848
81		Navy                            6-5-0	38.8604
82		UNLV                            2-11-0	38.7967
83		Utah St                         9-4-0	38.4511
84		Texas-San Antonio               4-8-0	38.2347
85		Rice                            7-5-0	37.5282
86		Cincinnati                      8-3-0	37.4635
87		Western Kentucky                7-5-0	37.4258
88		Brigham Young                   8-4-0	37.0925
89		Eastern Michigan                2-10-0	36.6459
90		Alabama-Birmingham              6-6-0	36.6387
91		Colorado St                     10-2-0	36.6313
92		Toledo                          8-4-0	36.229
93		Middle Tennessee St             6-6-0	36.0322
94		Kent St                         2-9-0	35.8432
95		UTEP                            7-5-0	35.7133
96		Miami OH                        2-10-0	35.5168
97		Temple                          5-6-0	35.309
98		Louisiana-Monroe                4-8-0	34.9695
99		Old Dominion                    6-6-0	34.9689
100		Georgia St                      1-11-0	34.8948
101		Indiana St                      7-4-0	34.8795
102		Florida Int'l                   4-8-0	34.8706
103		South Dakota                    2-9-0	34.8254
104		San Diego St                    7-5-0	34.1353
105		South Alabama                   6-6-0	33.9899
106		Army                            4-7-0	33.8546
107		Memphis                         9-3-0	33.6702
108		Central Florida                 8-3-0	33.5155
109		South Dakota St                 7-4-0	33.4614
110		Central Michigan                7-5-0	33.2634
111		Bowling Green                   7-5-0	33.2034
112		Air Force                       9-3-0	33.1354
113		Missouri St                     4-7-0	33.1329
114		Western Illinois                4-7-0	33.1269
115		Ohio U.                         6-6-0	33.0359
116		Louisiana-Lafayette             8-4-0	32.7191
117		East Carolina                   8-3-0	32.6254
118		Massachusetts                   3-9-0	32.6244
119		Northern Iowa                   7-4-0	32.2013
120		Ball St                         5-7-0	32.1511
121		Northern Illinois               10-2-0	32.112
122		Troy                            3-9-0	32.0909
123		Arkansas St                     7-5-0	31.937
124		North Texas                     4-8-0	31.392
125		Idaho                           1-10-0	31.3167
126		New Mexico St                   2-10-0	31.153
127		Houston                         7-4-0	30.0062
128		Western Michigan                8-4-0	29.9745
129		Akron                           5-7-0	29.9337
130		Marshall                        11-1-0	28.9285
131		Southern Utah                   2-9-0	28.2837
132		North Dakota St                 10-1-0	28.0054
133		Southern Illinois               6-5-0	27.805
134		Buffalo                         5-6-0	27.255
135		Georgia Southern                9-3-0	26.7281
136		Youngstown St                   7-4-0	26.5535
137		Texas St-San Marcos             7-5-0	26.121
138		Appalachian St                  7-5-0	26.0982
139		The Citadel                     4-7-0	26.0759
140		Austin Peay                     1-10-0	26.0563
141		Elon                            1-10-0	26.0285
142		UC-Davis                        2-8-0	25.638
143		Northwestern St                 6-5-0	25.6188
144		Presbyterian                    6-5-0	25.548
145		Rhode Island                    0-11-0	24.6347
146		Weber St                        2-9-0	24.2432
147		Illinois St                     9-1-0	24.1941
148		Eastern Illinois                5-6-0	23.8959
149		Nicholls St                     0-11-0	23.2206
150		Chattanooga                     8-3-0	22.8982
151		Tennessee Tech                  4-7-0	22.8519
152		Furman                          3-8-0	22.6172
153		Sam Houston St                  7-4-0	22.0322
154		Eastern Washington              9-2-0	21.6893
155		Idaho St                        7-4-0	21.6505
