Rank     Team                            W-L-T    Rating
1        Florida St                      7-0-0    70.5253
2        Oregon                          7-0-0    67.9827
3        Stanford                        7-1-0    65.2675
4        Baylor                          8-1-0    63.8228
5        Auburn                          9-1-0    62.0012
6        LSU                             8-0-0    61.7797
7        Michigan St                     6-1-0    60.4438
8        Missouri                        6-1-0    60.1313
9        Ohio State                      7-1-0    59.7711
10        South Carolina                  8-0-0    59.6852
11        Alabama                         8-1-0    58.8852
12        Notre Dame                      5-1-0    56.6344
13        UCLA                            6-1-0    56.5313
14        Oklahoma St                     6-2-0    56.4716
15        Texas                           5-2-0    56.4373
16        Arizona St                      3-1-0    55.8857
17        Auburn                          3-1-0    55.6792
18        UCLA                            4-2-0    55.2408
19        Southern Cal                    6-1-0    55.1994
20        Arizona                         5-2-0    55.1942
21        Arizona St                      7-3-0    55.0082
22        Missouri                        6-1-0    54.9011
23        Oklahoma                        6-0-0    54.5155
24        Oklahoma St                     4-1-0    54.1819
25        Oklahoma                        5-2-0    53.6167
26        Texas A&M                       6-2-0    53.4918
27        Clemson                         7-1-0    53.317
28        Minnesota                       5-1-0    52.8385
29        Georgia                         5-2-0    52.6492
30        Oregon                          4-2-0    51.5828
31        Michigan                        5-2-0    51.4605
32        Alabama                         3-1-0    51.4424
33        Stanford                        4-2-0    50.9323
34        Marshall                        6-0-0    50.7615
35        Ohio State                      5-1-0    50.6963
36        Florida St                      7-0-0    50.3129
37        Eastern Illinois                6-1-0    50.1414
38        Oregon St                       4-2-0    49.9599
39        Northern Illinois               5-0-0    49.6974
40        Fresno St                       7-0-0    49.6356
41        Nebraska                        4-1-0    49.4108
42        Boston College                  5-1-0    49.3227
43        Kansas St                       6-3-0    48.695
44        Mississippi                     2-2-0    48.5983
45        Washington                      6-1-0    48.5781
46        Clemson                         4-1-0    48.1389
47        Kansas St                       2-2-0    47.7757
48        Utah                            4-3-0    47.5289
49        East Carolina                   6-1-0    47.2495
50        Boise St                        6-0-0    47.1769
51        Brigham Young                   5-2-0    47.0896
52        Central Florida                 5-1-0    47.0308
53        North Dakota St                 10-0-0    46.9555
54        Louisville                      6-0-0    46.8151
55        North Dakota St                 5-0-0    46.7754
56        Washington                      3-3-0    46.7668
57        Eastern Illinois                6-1-0    46.7631
58        NW Missouri St                  10-0-0    46.0324
59        Iowa                            4-2-0    45.9988
60        Baylor                          3-1-0    45.9214
61        Vanderbilt                      6-2-0    45.639
62        Wake Forest                     3-2-0    45.621
63        NW Missouri St                  5-0-0    45.5581
64        Navy                            6-0-0    45.5069
65        Wisconsin                       3-3-0    45.1537
66        Virginia Tech                   4-2-0    45.0104
67        Duke                            5-0-0    45.008
68        Iowa                            4-2-0    44.6729
69        Southern Cal                    4-2-0    44.5006
70        Texas Tech                      4-3-0    44.1717
71        Mississippi                     6-2-0    43.4845
72        Penn State                      6-2-0    43.4579
73        LSU                             2-3-0    43.4154
74        Indiana                         5-3-0    43.3649
75        Bowling Green                   6-2-0    43.1385
76        North Texas                     6-1-0    43.1165
77        Eastern Washington              7-1-0    42.9988
78        Towson                          9-0-0    42.8865
79        Nebraska                        5-3-0    42.8805
80        Louisville                      6-1-0    42.7295
81        New Hampshire                   6-0-0    42.5963
82        TCU                             3-3-0    42.3439
83        Rice                            6-0-0    42.0359
84        South Carolina                  3-2-0    41.947
85        McNeese St                      5-0-0    41.8645
86        Toledo                          5-1-0    41.8436
87        Buffalo                         5-0-0    41.8417
88        Central Florida                 7-0-0    41.7029
89        Northwestern                    3-3-0    41.6537
90        Utah St                         4-3-0    41.5661
91        South Alabama                   4-2-0    41.1235
92        North Carolina                  5-3-0    40.8461
93        Georgia                         3-3-0    40.5547
94        Texas A&M                       3-2-0    40.3765
95        Cincinnati                      5-1-0    40.3649
96        Colorado St                     5-2-0    40.3294
97        Georgia Tech                    5-2-0    40.1865
98        Wake Forest                     0-1-0    40.1268
99        Duke                            0-1-0    40.1268
100        Florida                         0-1-0    40.1268
101        Washington St                   3-4-0    40.0906
102        Wisconsin                       6-1-0    40.0614
103        South Dakota St                 4-1-0    39.9161
104        Miami FL                        6-1-0    39.7088
105        Tennessee                       4-3-0    39.6127
106        Navy                            3-2-0    39.6025
107        Ball St                         6-1-0    39.3345
108        Slippery Rock                   5-0-0    39.2755
109        Florida                         0-1-0    39.1782
110        Maryland                        3-1-0    39.1479
111        Virginia Tech                   4-3-0    39.0459
112        Texas Tech                      4-2-0    39.0187
113        West Virginia                   3-3-0    38.9451
114        Mississippi St                  6-1-0    38.7213
