Rank     Team                            W-L-T    Schedule Factor
1        Vanderbilt                      0-2-0    49.8529
2        Iowa                            1-2-0    27.3088
3        Hyde Park High                  0-1-0    26.25
4        Chicago YMCA                    0-1-0    26.25
5        Camp Harrison                   0-1-0    22.9091
6        Georgia Tech                    0-1-0    21.0
7        Pennsylvania                    0-1-0    21.0
8        Wisconsin                       1-2-0    20.8088
9        Northern Colorado               0-1-0    19.2
10        Case                            0-1-0    17.5455
11        Wabash                          0-2-0    17.5455
12        Michigan State                  0-1-0    17.5455
13        Texas Christian                 0-1-0    16.7619
14        Penn Radio School               0-2-0    16.7619
15        Oklahoma State                  0-1-0    16.7619
16        Camp Greenleaf                  1-0-0    15.2941
17        Columbia                        0-1-0    14.5714
18        Navy Transport                  0-1-0    14.5714
19        Rutgers                         0-1-0    14.5714
20        Syracuse                        0-1-0    13.75
21        Case                            0-2-0    13.75
22        Ohio Wesleyan                   0-1-0    13.75
23        Denison                         0-1-0    13.75
24        Northwestern                    0-1-0    13.3088
25        Ohio State                      0-2-0    13.25
26        Nebraska                        0-2-1    12.8571
27        Camp Mabry                      0-2-0    12.2619
28        Chicago                         1-4-1    10.9755
29        Camp Hancock                    2-0-0    10.7941
30        Penn State                      0-1-1    10.2
31        Clemson                         2-1-0    9.6863
32        Southern Methodist              0-2-0    9.2619
33        Great Lakes Navy                0-0-1    9.0909
34        Coe                             0-1-0    9.0
35        Cornell (Iowa)                  0-1-0    9.0
36        Denver                          0-1-0    8.7619
37        Crane J.C.                      0-1-1    8.75
38        South Carolina                  0-1-1    8.75
39        Washington & Jefferson          0-2-0    8.5
40        DePauw                          1-1-0    7.9091
41        Camp Travis                     0-2-0    7.7619
42        Michigan State                  0-2-0    7.75
43        Washington & Lee                0-2-0    7.2941
44        Davidson                        0-1-0    7.0
45        Nebraska                        0-1-0    6.6667
46        Drake                           0-1-0    6.6667
47        Westminster (Missouri)          0-1-0    6.6667
48        Syracuse                        4-0-0    6.6429
49        Stanford                        0-2-0    6.4
50        Camp Sevier                     0-1-0    6.2941
51        th Cavalry                      0-1-0    6.2941
52        Arkansas                        1-1-0    6.1667
53        Camp MacDowell                  1-0-0    6.0
54        Oregon                          0-1-0    6.0
55        Western Michigan                0-1-0    5.5714
56        Albion                          0-1-0    5.5714
57        Hillsdale                       0-1-0    5.5714
58        Clemson                         0-1-0    5.0
59        Camp Gordon                     0-1-0    5.0
60        North Carolina State            0-2-0    4.7941
61        Iowa State                      0-2-0    4.0
62        Knox                            0-1-0    3.9091
63        Rice                            0-5-1    3.8333
64        Camp Humphreys                  0-1-0    3.2941
65        Belmont A.C.                    0-1-0    3.2941
66        North Texas                     0-1-0    3.0
67        Muhlenberg                      1-0-0    2.75
68        Garden City                     1-0-0    2.75
69        Dartmouth                       0-2-0    2.5
70        Chicago                         3-0-0    2.3088
71        St. Mary's                      0-1-0    2.2
72        Presidio of San Francisco       0-1-0    2.2
73        San Pedro Navy                  0-1-0    2.2
74        Iowa                            4-0-0    2.0909
75        Southern Methodist              2-0-0    2.0
76        Northern Colorado               1-0-0    1.8
77        Camp Grant                      1-0-0    1.75
78        California                      4-0-0    1.6
79        Texas                           7-0-0    1.5238
80        Penn State                      1-1-0    1.5
81        Muhlenberg                      0-1-0    1.5
82        Great Lakes Navy                2-0-1    1.5
83        Pennsylvania                    5-1-0    1.2857
84        Baylor                          0-5-0    1.2
85        Lehigh                          1-2-0    0.8667
86        Illinois                        1-0-0    0.8088
87        Illinois                        3-0-0    0.75
88        Barron Field                    1-0-0    0.5
89        Texas A&M                       1-0-0    0.5
90        Southwestern (Texas)            1-0-0    0.5
91        MacAurthur Field                1-0-0    0.5
92        Colorado                        0-2-0    0.3
93        Great Lakes Navy                2-0-0    0.25
94        Minnesota                       1-1-0    0.25
95        Furman                          0-2-1    0.0
96        Southern California             0-1-0    0.0
97        Oglethorpe                      0-1-0    0.0
98        Kansas                          0-1-0    0.0
99        Fort Sheridan                   1-0-0    0.0
100        New York University             0-1-0    0.0
101        Sewanee                         1-0-0    0.0
102        Simpson                         0-1-0    0.0
103        Wake Forest                     1-0-0    0.0
104        Pennsylvania                    0-1-0    0.0
105        Camp Griffin                    1-0-0    0.0
106        Vanderbilt                      1-0-0    0.0
107        Kentucky                        2-0-0    0.0
108        Southwestern (Texas)            2-0-0    0.0
109        Austin                          0-2-0    0.0
110        Haskell                         0-1-0    0.0
111        Camp Greene                     0-0-1    0.0
112        Navy                            3-0-0    0.0
113        Iowa State                      0-1-0    0.0
114        Washington & Jefferson          1-0-0    0.0
115        Tennessee                       0-1-0    0.0
116        Camp Baker                      0-1-0    0.0
117        Camp Greenleaf                  1-0-0    0.0
118        Camp Dodge                      1-0-0    0.0
119        Central Oklahoma                0-1-0    0.0
120        Indiana (Pennsylvania)          0-1-0    0.0
121        Minnesota                       2-0-0    0.0
122        Beloit                          0-1-0    0.0
123        Purdue                          0-1-0    0.0
124        McDaniel                        0-1-0    0.0
125        Oregon State                    1-0-0    0.0
126        Tulsa                           0-1-0    0.0
127        U.S. Marines                    1-0-0    0.0
128        Kansas                          0-1-0    0.0
129        Harvard                         1-0-0    0.0
130        Oklahoma                        2-0-0    0.0
131        North Carolina State            0-1-0    0.0
132        Cleveland Naval Reserves        1-0-0    0.0
133        North Carolina State            1-0-0    0.0
134        Standifer Shipbuilders          0-1-0    0.0
135        California                      1-0-0    0.0
136        Newport NTS                     0-1-0    0.0
137        Oklahoma                        1-0-0    0.0
138        Grinnell                        1-0-0    0.0
139        Davidson                        1-0-0    0.0
