Rank     Team                            W-L-T    Schedule Factor
1        Western Kentucky                0-1-0    76.1934
2        Mississippi St                  0-2-0    74.9014
3        Colorado                        0-1-0    74.7706
4        LSU                             0-1-0    74.6798
5        Fresno St                       0-1-0    70.2912
6        North Texas                     0-1-0    66.8682
7        Mississippi                     0-3-0    65.3122
8        Stephen F. Austin               0-1-0    65.0111
9        Tennessee                       0-2-0    64.6413
10        Auburn                          1-3-0    59.8732
11        California                      0-1-0    59.7135
12        Vanderbilt                      0-2-0    59.3759
13        Missouri St                     0-2-0    58.1332
14        Northwestern St                 0-2-0    57.6255
15        Kent St                         0-2-0    57.5267
16        Iowa St                         0-1-0    56.9282
17        Ohio State                      0-1-0    56.8818
18        Kentucky                        0-3-0    56.3683
19        San Diego St                    0-1-0    56.3269
20        Minnesota                       0-1-0    56.3269
21        Arkansas                        3-2-0    54.1974
22        Miami OH                        0-1-0    53.7799
23        Florida                         1-2-0    53.7462
24        Tennessee                       0-3-0    53.3551
25        San Jose St                     0-1-0    52.4295
26        Penn State                      0-1-0    51.8027
27        North Carolina Central          0-1-0    51.7812
28        Cincinnati                      0-1-0    51.7812
29        Texas Tech                      0-2-0    50.6859
30        Texas                           0-1-0    50.6444
31        Northern Illinois               0-1-0    50.5219
32        Virginia                        0-1-0    50.494
33        Ball St                         0-2-0    50.2583
34        Oregon                          4-1-0    49.8798
35        Oklahoma                        4-2-0    49.6102
36        Tennessee Tech                  0-1-0    49.6024
37        Oregon St                       0-2-0    49.5217
38        Sam Houston St                  0-1-0    49.1573
39        New Mexico                      0-5-0    49.1015
40        Washington St                   0-1-0    48.6595
41        Indiana                         0-2-0    48.4166
42        Missouri                        2-4-0    48.4
43        Kansas                          0-3-0    48.3741
44        Baylor                          1-3-0    48.3304
45        LSU                             8-0-0    48.2591
46        Texas                           4-1-0    48.2227
47        Eastern Kentucky                0-1-0    48.1852
48        Kansas                          0-2-0    47.93
49        Louisville                      0-1-0    47.8283
50        Notre Dame                      4-2-0    47.7104
51        Eastern Michigan                0-2-0    47.264
52        Georgia                         5-1-0    47.0132
53        Mississippi                     1-3-0    46.3576
54        Baylor                          9-0-0    46.2574
55        Kansas St                       4-2-0    45.9848
56        Texas A&M                       2-2-0    45.7834
57        Arkansas St                     0-1-0    45.7475
58        South Carolina                  3-1-0    45.719
59        Colorado                        0-2-0    45.5258
60        Iowa St                         4-2-0    45.4477
61        Rice                            0-5-0    45.4365
62        Arizona                         3-3-0    45.0692
63        Georgia St                      0-1-0    45.0458
64        East Carolina                   0-1-0    45.0458
65        Central Michigan                0-1-0    45.0305
66        Youngstown St                   0-1-0    45.0305
67        Auburn                          0-1-0    44.9752
68        UCLA                            1-4-0    44.7709
69        Florida                         0-1-0    44.6413
70        Kansas St                       6-1-0    44.5902
71        Florida                         0-1-0    44.476
72        Boston College                  0-1-0    44.476
73        California                      2-4-0    44.4346
74        Kansas                          2-5-0    44.4236
75        Michigan St                     4-1-0    44.3911
76        South Florida                   2-3-0    44.3095
77        Texas                           4-3-0    44.1059
78        Pittsburgh                      1-3-0    43.8395
79        Nicholls St                     0-2-0    43.7031
80        Arizona                         1-5-0    43.6998
81        Memphis                         0-1-0    43.4117
82        Iowa St                         2-4-0    43.377
83        Washington                      1-5-0    42.9442
84        North Carolina St               0-1-0    42.9297
85        Louisiana-Monroe                0-1-0    42.9297
86        Mississippi                     0-2-0    42.7215
87        Texas Tech                      3-3-0    42.7173
88        West Virginia                   5-1-0    42.4573
89        Southern Cal                    4-1-0    42.4228
90        Texas-San Antonio               0-1-0    42.3125
91        TCU                             4-1-0    42.2471
92        Boston College                  2-3-0    42.1888
93        North Carolina                  1-4-0    42.0663
94        Navy                            2-4-0    41.9872
95        Texas A&M                       5-4-0    41.9769
96        Michigan                        3-2-0    41.8669
97        Oklahoma St                     6-0-0    41.8637
98        Indiana                         0-3-0    41.833
99        Syracuse                        4-3-0    41.7467
100        UNLV                            0-3-0    41.7234
101        Middle Tennessee St             0-2-0    41.6799
102        Oregon St                       0-3-0    41.6339
103        Western Illinois                0-3-0    41.5813
104        Louisville                      4-2-0    40.9967
105        Stanford                        6-2-0    40.9953
106        North Carolina                  0-1-0    40.6839
107        Chattanooga                     0-1-0    40.5841
108        Michigan St                     0-1-0    40.5841
109        Utah                            4-2-0    40.571
110        Notre Dame                      4-3-0    40.5573
111        Nebraska                        3-3-0    40.4732
112        Washington St                   1-5-0    40.4593
113        Oklahoma St                     6-1-0    40.1846
114        SE Louisiana St                 0-1-0    40.1632
115        New Mexico                      0-1-0    40.1092
116        Purdue                          2-4-0    40.0894
117        Oklahoma                        6-1-0    40.0475
118        Idaho                           0-3-0    40.0138
119        Missouri Western                0-1-0    39.9999
120        Alabama                         6-0-0    39.989
121        Miami FL                        1-3-0    39.9733
122        Clemson                         8-1-0    39.8492
123        Rutgers                         7-1-0    39.847
124        Maryland                        0-4-0    39.75
125        UTEP                            3-3-0    39.6971
126        LSU                             4-0-0    39.6822
127        Duke                            1-6-0    39.6386
128        Iowa                            0-2-0    39.3926
129        West Virginia                   5-2-0    39.3274
130        Nevada                          2-4-0    39.3077
131        SMU                             0-3-0    39.1607
132        Pittsburgh                      0-1-0    39.0576
133        Missouri                        6-1-0    39.0494
134        Boise St                        5-1-0    38.9496
135        Arizona St                      1-4-0    38.8981
